name,hourly_cost,vcpu,memory,storage,network,performance_per_vcpu,network_burst,ebs_burst
c6a.48xlarge,$7.34400,192,384 GiB,EBS Only,50000 Megabit,,,
c6a.metal,$7.34400,192,384 GiB,EBS Only,50000 Megabit,,,
c6g.medium,$0.03400,1,2 GiB,EBS Only,Up to 10 Gigabit,,,
c6g.large,$0.06800,2,4 GiB,EBS Only,Up to 10 Gigabit,,,
c6g.xlarge,$0.13600,4,8 GiB,EBS Only,Up to 10 Gigabit,,,
c6g.2xlarge,$0.27200,8,16 GiB,EBS Only,Up to 10 Gigabit,,,
c6g.4xlarge,$0.54400,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
c6g.8xlarge,$1.08800,32,64 GiB,EBS Only,12 Gigabit,,,
c6g.12xlarge,$1.63200,48,96 GiB,EBS Only,20 Gigabit,,,
c6g.16xlarge,$2.17600,64,128 GiB,EBS Only,25 Gigabit,,,
c6g.metal,$2.17600,64,128 GiB,EBS Only,25 Gigabit,,,
c6gd.medium,$0.03840,1,2 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit,,,
c6gd.large,$0.07680,2,4 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit,,,
c6gd.xlarge,$0.15360,4,8 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,,,
c6gd.2xlarge,$0.30720,8,16 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,,,
c6gd.4xlarge,$0.61440,16,32 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,,,
c6gd.8xlarge,$1.22880,32,64 GiB,1 x 1900 NVMe SSD,12 Gigabit,,,
c6gd.12xlarge,$1.84320,48,96 GiB,2 x 1425 NVMe SSD,20 Gigabit,,,
c6gd.16xlarge,$2.45760,64,128 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
c6gd.metal,$2.45760,64,128 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
c6gn.medium,$0.04320,1,2 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.large,$0.08640,2,4 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.xlarge,$0.17280,4,8 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.2xlarge,$0.34560,8,16 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.4xlarge,$0.69120,16,32 GiB,EBS Only,25 Gigabit,,,
c6gn.8xlarge,$1.38240,32,64 GiB,EBS Only,50 Gigabit,,,
c6gn.12xlarge,$2.07360,48,96 GiB,EBS Only,75 Gigabit,,,
c6gn.16xlarge,$2.76480,64,128 GiB,EBS Only,100 Gigabit,,,
c6i.large,$0.08500,2,4 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.xlarge,$0.17000,4,8 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.2xlarge,$0.34000,8,16 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.4xlarge,$0.68000,16,32 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.8xlarge,$1.36000,32,64 GiB,EBS Only,12500 Megabit,,,
c6i.12xlarge,$2.04000,48,96 GiB,EBS Only,18750 Megabit,,,
c6i.16xlarge,$2.72000,64,128 GiB,EBS Only,25000 Megabit,,,
c6i.24xlarge,$4.08000,96,192 GiB,EBS Only,37500 Megabit,,,
c6i.32xlarge,$5.44000,128,256 GiB,EBS Only,50000 Megabit,,,
c6i.metal,$5.44000,128,256 GiB,EBS Only,50000 Megabit,,,
c6id.large,$0.10080,2,4 GiB,1 x 118 SSD,Up to 12500 Megabit,,,
c6id.xlarge,$0.20160,4,8 GiB,1 x 237 SSD,Up to 12500 Megabit,,,
c6id.2xlarge,$0.40320,8,16 GiB,1 x 474 SSD,Up to 12500 Megabit,,,
c6id.4xlarge,$0.80640,16,32 GiB,1 x 950 SSD,Up to 12500 Megabit,,,
c6id.8xlarge,$1.61280,32,64 GiB,1 x 1900 SSD,12500 Megabit,,,
c6id.12xlarge,$2.41920,48,96 GiB,2 x 1425 SSD,18750 Megabit,,,
c6id.16xlarge,$3.22560,64,128 GiB,2 x 1900 SSD,25000 Megabit,,,
c6id.24xlarge,$4.83840,96,192 GiB,4 x 1425 SSD,37500 Megabit,,,
c6id.32xlarge,$6.45120,128,256 GiB,4 x 1900 SSD,50000 Megabit,,,
c6id.metal,$6.45120,128,256 GiB,4 x 1900 SSD,50000 Megabit,,,
c6in.large,$0.11340,2,4 GiB,EBS Only,Up to 25000 Megabit,,,
c6in.xlarge,$0.22680,4,8 GiB,EBS Only,Up to 30000 Megabit,,,
c6in.2xlarge,$0.45360,8,16 GiB,EBS Only,Up to 40000 Megabit,,,
c6in.4xlarge,$0.90720,16,32 GiB,EBS Only,Up to 50000 Megabit,,,
c6in.8xlarge,$1.81440,32,64 GiB,EBS Only,50000 Megabit,,,
c6in.12xlarge,$2.72160,48,96 GiB,EBS Only,75000 Megabit,,,
c6in.16xlarge,$3.62880,64,128 GiB,EBS Only,100000 Megabit,,,
c6in.24xlarge,$5.44320,96,192 GiB,EBS Only,150000 Megabit,,,
c6in.32xlarge,$7.25760,128,256 GiB,EBS Only,200000 Megabit,,,
c6in.metal,$7.25760,128,256 GiB,EBS Only,200000 Megabit,,,
c5.large,$0.08500,2,4 GiB,EBS Only,Up to 10 Gigabit,,,
c5.xlarge,$0.17000,4,8 GiB,EBS Only,Up to 10 Gigabit,,,
c5.2xlarge,$0.34000,8,16 GiB,EBS Only,Up to 10 Gigabit,,,
c5.4xlarge,$0.68000,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
c5.9xlarge,$1.53000,36,72 GiB,EBS Only,10 Gigabit,,,
c5.12xlarge,$2.04000,48,96 GiB,EBS Only,12 Gigabit,,,
c5.18xlarge,$3.06000,72,144 GiB,EBS Only,25 Gigabit,,,
c5.24xlarge,$4.08000,96,192 GiB,EBS Only,25 Gigabit,,,
c5.metal,$4.08000,96,192 GiB,EBS Only,25 Gigabit,,,
c5a.large,$0.07700,2,4 GiB,EBS Only,Up to 10 Gigabit,,,
c5a.xlarge,$0.15400,4,8 GiB,EBS Only,Up to 10 Gigabit,,,
c5a.2xlarge,$0.30800,8,16 GiB,EBS Only,Up to 10 Gigabit,,,
c5a.4xlarge,$0.61600,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
c5a.8xlarge,$1.23200,32,64 GiB,EBS Only,10 Gigabit,,,
c5a.12xlarge,$1.84800,48,96 GiB,EBS Only,12 Gigabit,,,
c5a.16xlarge,$2.46400,64,128 GiB,EBS Only,20 Gigabit,,,
c5a.24xlarge,$3.69600,96,192 GiB,EBS Only,20 Gigabit,,,
c5ad.large,$0.08600,2,4 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,,,
c5ad.xlarge,$0.17200,4,8 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,,,
c5ad.2xlarge,$0.34400,8,16 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,,,
c5ad.4xlarge,$0.68800,16,32 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,,,
c5ad.8xlarge,$1.37600,32,64 GiB,2 x 600 NVMe SSD,10 Gigabit,,,
c5ad.12xlarge,$2.06400,48,96 GiB,2 x 900 NVMe SSD,12 Gigabit,,,
c5ad.16xlarge,$2.75200,64,128 GiB,2 x 1200 NVMe SSD,20 Gigabit,,,
c5ad.24xlarge,$4.12800,96,192 GiB,2 x 1900 NVMe SSD,20 Gigabit,,,
c5d.large,$0.09600,2,4 GiB,1 x 50 NVMe SSD,Up to 10 Gigabit,,,
c5d.xlarge,$0.19200,4,8 GiB,1 x 100 NVMe SSD,Up to 10 Gigabit,,,
c5d.2xlarge,$0.38400,8,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,,,
c5d.4xlarge,$0.76800,16,32 GiB,1 x 400 NVMe SSD,Up to 10 Gigabit,,,
c5d.9xlarge,$1.72800,36,72 GiB,1 x 900 NVMe SSD,10 Gigabit,,,
c5d.12xlarge,$2.30400,48,96 GiB,2 x 900 NVMe SSD,12 Gigabit,,,
c5d.18xlarge,$3.45600,72,144 GiB,2 x 900 NVMe SSD,25 Gigabit,,,
c5d.24xlarge,$4.60800,96,192 GiB,4 x 900 NVMe SSD,25 Gigabit,,,
c5d.metal,$4.60800,96,192 GiB,4 x 900 NVMe SSD,25 Gigabit,,,
c5n.large,$0.10800,2,5.25 GiB,EBS Only,Up to 25 Gigabit,,,
c5n.xlarge,$0.21600,4,10.5 GiB,EBS Only,Up to 25 Gigabit,,,
c5n.2xlarge,$0.43200,8,21 GiB,EBS Only,Up to 25 Gigabit,,,
c5n.4xlarge,$0.86400,16,42 GiB,EBS Only,Up to 25 Gigabit,,,
c5n.9xlarge,$1.94400,36,96 GiB,EBS Only,50 Gigabit,,,
c5n.18xlarge,$3.88800,72,192 GiB,EBS Only,100 Gigabit,,,
c5n.metal,$3.88800,72,192 GiB,EBS Only,100 Gigabit,,,
c4.large,$0.10000,2,3.75 GiB,EBS Only,Moderate,,,
c4.xlarge,$0.19900,4,7.5 GiB,EBS Only,High,,,
c4.2xlarge,$0.39800,8,15 GiB,EBS Only,High,,,
c4.4xlarge,$0.79600,16,30 GiB,EBS Only,High,,,
c4.8xlarge,$1.59100,36,60 GiB,EBS Only,10 Gigabit,,,
p4d.24xlarge,$32.77260,96,1152 GiB,8 x 1000 SSD,400 Gigabit,,,
p4de.24xlarge,$40.96575,96,1152 GiB,8 x 1000 SSD,400 Gigabit,,,
p3.2xlarge,$3.06000,8,61 GiB,EBS Only,Up to 10 Gigabit,,,
p3.8xlarge,$12.24000,32,244 GiB,EBS Only,10 Gigabit,,,
p3.16xlarge,$24.48000,64,488 GiB,EBS Only,25 Gigabit,,,
p3dn.24xlarge,$31.21200,96,768 GiB,2 x 900 NVMe SSD,100 Gigabit,,,
p2.xlarge,$0.90000,4,61 GiB,EBS Only,High,,,
p2.8xlarge,$7.20000,32,488 GiB,EBS Only,10 Gigabit,,,
p2.16xlarge,$14.40000,64,732 GiB,EBS Only,20 Gigabit,,,
g5.xlarge,$1.00600,4,16 GiB,1 x 250 GB NVMe SSD,Up to 10 Gigabit,,,
g5.2xlarge,$1.21200,8,32 GiB,1 x 450 GB NVMe SSD,Up to 10 Gigabit,,,
g5.4xlarge,$1.62400,16,64 GiB,1 x 600 GB NVMe SSD,Up to 25 Gigabit,,,
g5.8xlarge,$2.44800,32,128 GiB,1 x 900 GB NVMe SSD,25 Gigabit,,,
g5.12xlarge,$5.67200,48,192 GiB,1 x 3800 GB NVMe SSD,40 Gigabit,,,
g5.16xlarge,$4.09600,64,256 GiB,1 x 1900 GB NVMe SSD,25 Gigabit,,,
g5.24xlarge,$8.14400,96,384 GiB,1 x 3800 GB NVMe SSD,50 Gigabit,,,
g5.48xlarge,$16.28800,192,768 GiB,2 x 3800 GB NVMe SSD,100 Gigabit,,,
g5g.xlarge,$0.42000,4,8 GiB,EBS Only,Up to 10 Gigabit,,,
g5g.2xlarge,$0.55600,8,16 GiB,EBS Only,Up to 10 Gigabit,,,
g5g.4xlarge,$0.82800,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
g5g.8xlarge,$1.37200,32,64 GiB,EBS Only,Up to 12 Gigabit,,,
g5g.16xlarge,$2.74400,64,128 GiB,EBS Only,25 Gigabit,,,
g5g.metal,$2.74400,64,128 GiB,EBS Only,25 Gigabit,,,
g4ad.xlarge,$0.37853,4,16 GiB,150 GB NVMe SSD,Up to 10 Gigabit,,,
g4ad.2xlarge,$0.54117,8,32 GiB,300 GB NVMe SSD,Up to 10 Gigabit,,,
g4ad.4xlarge,$0.86700,16,64 GiB,600 GB NVMe SSD,Up to 10 Gigabit,,,
g4ad.8xlarge,$1.73400,32,128 GiB,1200 GB NVMe SSD,15 Gigabit,,,
g4ad.16xlarge,$3.46800,64,256 GiB,2400 GB NVMe SSD,25 Gigabit,,,
g4dn.xlarge,$0.52600,4,16 GiB,125 GB NVMe SSD,Up to 25 Gigabit,,,
g4dn.2xlarge,$0.75200,8,32 GiB,225 GB NVMe SSD,Up to 25 Gigabit,,,
g4dn.4xlarge,$1.20400,16,64 GiB,225 GB NVMe SSD,Up to 25 Gigabit,,,
g4dn.8xlarge,$2.17600,32,128 GiB,900 GB NVMe SSD,50 Gigabit,,,
g4dn.12xlarge,$3.91200,48,192 GiB,900 GB NVMe SSD,50 Gigabit,,,
g4dn.16xlarge,$4.35200,64,256 GiB,900 GB NVMe SSD,50 Gigabit,,,
g4dn.metal,$7.82400,96,384 GiB,2 x 900 GB NVMe SSD,100 Gigabit,,,
g3.4xlarge,$1.14000,16,122 GiB,EBS Only,Up to 10 Gigabit,,,
g3.8xlarge,$2.28000,32,244 GiB,EBS Only,10 Gigabit,,,
g3.16xlarge,$4.56000,64,488 GiB,EBS Only,20 Gigabit,,,
g3s.xlarge,$0.75000,4,30.5 GiB,EBS Only,10 Gigabit,,,
f1.2xlarge,$1.65000,8,122 GiB,1 x 470 NVMe SSD,Up to 10 Gigabit,,,
f1.4xlarge,$3.30000,16,244 GiB,1 x 940 NVMe SSD,10 Gigabit,,,
f1.16xlarge,$13.20000,64,976 GiB,4 x 940 NVMe SSD,25 Gigabit,,,
x2gd.medium,$0.08350,1,16 GiB,1 x 59 SSD,Up to 10 Gigabit,,,
x2gd.large,$0.16700,2,32 GiB,1 x 118 SSD,Up to 10 Gigabit,,,
x2gd.xlarge,$0.33400,4,64 GiB,1 x 237 SSD,Up to 10 Gigabit,,,
x2gd.2xlarge,$0.66800,8,128 GiB,1 x 474 SSD,Up to 10 Gigabit,,,
x2gd.4xlarge,$1.33600,16,256 GiB,1 x 950 SSD,Up to 10 Gigabit,,,
x2gd.8xlarge,$2.67200,32,512 GiB,1 x 1900 SSD,12 Gigabit,,,
x2gd.12xlarge,$4.00800,48,768 GiB,2 x 1425 SSD,20 Gigabit,,,
x2gd.16xlarge,$5.34400,64,1024 GiB,2 x 1900 SSD,25 Gigabit,,,
x2gd.metal,$5.34400,64,1024 GiB,2 x 1900 SSD,25 Gigabit,,,
x2idn.16xlarge,$6.66900,64,1024 GiB,1 x 1900 NVMe SSD,50 Gigabit,,,
x2idn.24xlarge,$10.00350,96,1536 GiB,2 x 1425 NVMe SSD,75 Gigabit,,,
x2idn.32xlarge,$13.33800,128,2048 GiB,2 x 1900 NVMe SSD,100 Gigabit,,,
x2idn.metal,$13.33800,128,2048 GiB,2 x 1900 NVMe SSD,100 Gigabit,,,
x2iedn.xlarge,$0.83363,4,128 GiB,1 x 118 NVMe SSD,Up to 25 Gigabit,,,
x2iedn.2xlarge,$1.66725,8,256 GiB,1 x 237 NVMe SSD,Up to 25 Gigabit,,,
x2iedn.4xlarge,$3.33450,16,512 GiB,1 x 475 NVMe SSD,Up to 25 Gigabit,,,
x2iedn.8xlarge,$6.66900,32,1024 GiB,1 x 950 NVMe SSD,25 Gigabit,,,
x2iedn.16xlarge,$13.33800,64,2048 GiB,1 x 1900 NVMe SSD,50 Gigabit,,,
x2iedn.24xlarge,$20.00700,96,3072 GiB,2 x 1425 NVMe SSD,75 Gigabit,,,
x2iedn.32xlarge,$26.67600,128,4096 GiB,2 x 1900 NVMe SSD,100 Gigabit,,,
x2iedn.metal,$26.67600,128,4096 GiB,2 x 1900 NVMe SSD,100 Gigabit,,,
x2iezn.2xlarge,$1.66800,8,256 GiB,EBS Only,Up to 25 Gigabit,,,
x2iezn.4xlarge,$3.33600,16,512 GiB,EBS Only,Up to 25 Gigabit,,,
x2iezn.6xlarge,$5.00400,24,768 GiB,EBS Only,50 Gigabit,,,
x2iezn.8xlarge,$6.67200,32,1024 GiB,EBS Only,75 Gigabit,,,
x2iezn.12xlarge,$10.00800,48,1536 GiB,EBS Only,100 Gigabit,,,
x2iezn.metal,$10.00800,48,1536 GiB,EBS Only,100 Gigabit,,,
x1.16xlarge,$6.66900,64,976 GiB,1 x 1920 SSD,High,,,
x1.32xlarge,$13.33800,128,1952 GiB,2 x 1920 SSD,High,,,
x1e.xlarge,$0.83400,4,122 GiB,1 x 120 SSD,Up to 10 Gigabit,,,
x1e.2xlarge,$1.66800,8,244 GiB,1 x 240 SSD,Up to 10 Gigabit,,,
x1e.4xlarge,$3.33600,16,488 GiB,1 x 480 SSD,Up to 10 Gigabit,,,
x1e.8xlarge,$6.67200,32,976 GiB,1 x 960 SSD,Up to 10 Gigabit,,,
x1e.16xlarge,$13.34400,64,1952 GiB,1 x 1920 SSD,10 Gigabit,,,
x1e.32xlarge,$26.68800,128,3904 GiB,2 x 1920 SSD,25 Gigabit,,,
r7g.medium,$0.05360,1,8 GiB,EBS Only,Up to 12500 Megabit,,,
r7g.large,$0.10710,2,16 GiB,EBS Only,Up to 12500 Megabit,,,
r7g.xlarge,$0.21420,4,32 GiB,EBS Only,Up to 12500 Megabit,,,
r7g.2xlarge,$0.42840,8,64 GiB,EBS Only,Up to 15 Gigabit,,,
r7g.4xlarge,$0.85680,16,128 GiB,EBS Only,Up to 15 Gigabit,,,
r7g.8xlarge,$1.71360,32,256 GiB,EBS Only,15 Gigabit,,,
r7g.12xlarge,$2.57040,48,384 GiB,EBS Only,22500 Megabit,,,
r7g.16xlarge,$3.42720,64,512 GiB,EBS Only,30 Gigabit,,,
r7g.metal,$3.42720,64,512 GiB,EBS Only,30 Gigabit,,,
r6a.large,$0.11340,2,16 GiB,EBS Only,Up to 12500 Megabit,,,
r6a.xlarge,$0.22680,4,32 GiB,EBS Only,Up to 12500 Megabit,,,
r6a.2xlarge,$0.45360,8,64 GiB,EBS Only,Up to 12500 Megabit,,,
r6a.4xlarge,$0.90720,16,128 GiB,EBS Only,Up to 12500 Megabit,,,
r6a.8xlarge,$1.81440,32,256 GiB,EBS Only,12500 Megabit,,,
r6a.12xlarge,$2.72160,48,384 GiB,EBS Only,18750 Megabit,,,
r6a.16xlarge,$3.62880,64,512 GiB,EBS Only,25000 Megabit,,,
r6a.24xlarge,$5.44320,96,768 GiB,EBS Only,37500 Megabit,,,
r6a.32xlarge,$7.25760,128,1024 GiB,EBS Only,50000 Megabit,,,
r6a.48xlarge,$10.88640,192,1536 GiB,EBS Only,50000 Megabit,,,
r6a.metal,$10.88640,192,1536 GiB,EBS Only,50000 Megabit,,,
r6g.medium,$0.05040,1,8 GiB,EBS Only,Up to 10 Gigabit,,,
r6g.large,$0.10080,2,16 GiB,EBS Only,Up to 10 Gigabit,,,
r6g.xlarge,$0.20160,4,32 GiB,EBS Only,Up to 10 Gigabit,,,
r6g.2xlarge,$0.40320,8,64 GiB,EBS Only,Up to 10 Gigabit,,,
r6g.4xlarge,$0.80640,16,128 GiB,EBS Only,Up to 10 Gigabit,,,
r6g.8xlarge,$1.61280,32,256 GiB,EBS Only,12 Gigabit,,,
