name,hourly_cost,vcpu,memory,storage,network,performance_per_vcpu,network_burst,ebs_burst
r6g.12xlarge,$2.41920,48,384 GiB,EBS Only,20 Gigabit,,,
r6g.16xlarge,$3.22560,64,512 GiB,EBS Only,25 Gigabit,,,
r6g.metal,$3.22560,64,512 GiB,EBS Only,25 Gigabit,,,
r6gd.medium,$0.05760,1,8 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit,,,
r6gd.large,$0.11520,2,16 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit,,,
r6gd.xlarge,$0.23040,4,32 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,,,
r6gd.2xlarge,$0.46080,8,64 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,,,
r6gd.4xlarge,$0.92160,16,128 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,,,
r6gd.8xlarge,$1.84320,32,256 GiB,1 x 1900 NVMe SSD,12 Gigabit,,,
r6gd.12xlarge,$2.76480,48,384 GiB,2 x 1425 NVMe SSD,20 Gigabit,,,
r6gd.16xlarge,$3.68640,64,512 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
r6gd.metal,$3.68640,64,512 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
r6i.large,$0.12600,2,16 GiB,EBS Only,Up to 12500 Megabit,,,
r6i.xlarge,$0.25200,4,32 GiB,EBS Only,Up to 12500 Megabit,,,
r6i.2xlarge,$0.50400,8,64 GiB,EBS Only,Up to 12500 Megabit,,,
r6i.4xlarge,$1.00800,16,128 GiB,EBS Only,Up to 12500 Megabit,,,
r6i.8xlarge,$2.01600,32,256 GiB,EBS Only,12500 Megabit,,,
r6i.12xlarge,$3.02400,48,384 GiB,EBS Only,18750 Megabit,,,
r6i.16xlarge,$4.03200,64,512 GiB,EBS Only,25000 Megabit,,,
r6i.24xlarge,$6.04800,96,768 GiB,EBS Only,37500 Megabit,,,
r6i.32xlarge,$8.06400,128,1024 GiB,EBS Only,50000 Megabit,,,
r6i.metal,$8.06400,128,1024 GiB,EBS Only,50000 Megabit,,,
r6id.large,$0.15120,2,16 GiB,1 x 118 SSD,Up to 12500 Megabit,,,
r6id.xlarge,$0.30240,4,32 GiB,1 x 237 SSD,Up to 12500 Megabit,,,
r6id.2xlarge,$0.60480,8,64 GiB,1 x 474 SSD,Up to 12500 Megabit,,,
r6id.4xlarge,$1.20960,16,128 GiB,1 x 950 SSD,Up to 12500 Megabit,,,
r6id.8xlarge,$2.41920,32,256 GiB,1 x 1900 SSD,12500 Megabit,,,
r6id.12xlarge,$3.62880,48,384 GiB,2 x 1425 SSD,18750 Megabit,,,
r6id.16xlarge,$4.83840,64,512 GiB,2 x 1900 SSD,25000 Megabit,,,
r6id.24xlarge,$7.25760,96,768 GiB,4 x 1425 SSD,37500 Megabit,,,
r6id.32xlarge,$9.67680,128,1024 GiB,4 x 1900 SSD,50000 Megabit,,,
r6id.metal,$9.67680,128,1024 GiB,4 x 1900 SSD,50000 Megabit,,,
r6idn.large,$0.19539,2,16 GiB,1 x 118 SSD,Up to 25000 Megabit,,,
r6idn.xlarge,$0.39078,4,32 GiB,1 x 237 SSD,Up to 30000 Megabit,,,
r6idn.2xlarge,$0.78156,8,64 GiB,1 x 474 SSD,Up to 40000 Megabit,,,
r6idn.4xlarge,$1.56312,16,128 GiB,1 x 950 SSD,Up to 50000 Megabit,,,
r6idn.8xlarge,$3.12624,32,256 GiB,1 x 1900 SSD,50000 Megabit,,,
r6idn.12xlarge,$4.68936,48,384 GiB,2 x 1425 SSD,75000 Megabit,,,
r6idn.16xlarge,$6.25248,64,512 GiB,2 x 1900 SSD,100000 Megabit,,,
r6idn.24xlarge,$9.37872,96,768 GiB,4 x 1425 SSD,150000 Megabit,,,
r6idn.32xlarge,$12.50496,128,1024 GiB,4 x 1900 SSD,200000 Megabit,,,
r6idn.metal,$12.50496,128,1024 GiB,4 x 1900 SSD,200000 Megabit,,,
r6in.large,$0.17433,2,16 GiB,EBS Only,Up to 25000 Megabit,,,
r6in.xlarge,$0.34866,4,32 GiB,EBS Only,Up to 30000 Megabit,,,
r6in.2xlarge,$0.69732,8,64 GiB,EBS Only,Up to 40000 Megabit,,,
r6in.4xlarge,$1.39464,16,128 GiB,EBS Only,Up to 50000 Megabit,,,
r6in.8xlarge,$2.78928,32,256 GiB,EBS Only,50000 Megabit,,,
r6in.12xlarge,$4.18392,48,384 GiB,EBS Only,75000 Megabit,,,
r6in.16xlarge,$5.57856,64,512 GiB,EBS Only,100000 Megabit,,,
r6in.24xlarge,$8.36784,96,768 GiB,EBS Only,150000 Megabit,,,
r6in.32xlarge,$11.15712,128,1024 GiB,EBS Only,200000 Megabit,,,
r6in.metal,$11.15712,128,1024 GiB,EBS Only,200000 Megabit,,,
r5.large,$0.12600,2,16 GiB,EBS Only,Up to 10 Gigabit,,,
r5.xlarge,$0.25200,4,32 GiB,EBS Only,Up to 10 Gigabit,,,
r5.2xlarge,$0.50400,8,64 GiB,EBS Only,Up to 10 Gigabit,,,
r5.4xlarge,$1.00800,16,128 GiB,EBS Only,Up to 10 Gigabit,,,
r5.8xlarge,$2.01600,32,256 GiB,EBS Only,10 Gigabit,,,
r5.12xlarge,$3.02400,48,384 GiB,EBS Only,10 Gigabit,,,
r5.16xlarge,$4.03200,64,512 GiB,EBS Only,20 Gigabit,,,
r5.24xlarge,$6.04800,96,768 GiB,EBS Only,25 Gigabit,,,
r5.metal,$6.04800,96,768 GiB,EBS Only,25 Gigabit,,,
r5a.large,$0.11300,2,16 GiB,EBS Only,Up to 10 Gigabit,,,
r5a.xlarge,$0.22600,4,32 GiB,EBS Only,Up to 10 Gigabit,,,
r5a.2xlarge,$0.45200,8,64 GiB,EBS Only,Up to 10 Gigabit,,,
r5a.4xlarge,$0.90400,16,128 GiB,EBS Only,Up to 10 Gigabit,,,
r5a.8xlarge,$1.80800,32,256 GiB,EBS Only,Up to 10 Gigabit,,,
r5a.12xlarge,$2.71200,48,384 GiB,EBS Only,10 Gigabit,,,
r5a.16xlarge,$3.61600,64,512 GiB,EBS Only,12 Gigabit,,,
r5a.24xlarge,$5.42400,96,768 GiB,EBS Only,20 Gigabit,,,
r5ad.large,$0.13100,2,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,,,
r5ad.xlarge,$0.26200,4,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,,,
r5ad.2xlarge,$0.52400,8,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,,,
r5ad.4xlarge,$1.04800,16,128 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,,,
r5ad.8xlarge,$2.09600,32,256 GiB,2 x 600 NVMe SSD,Up to 10 Gigabit,,,
r5ad.12xlarge,$3.14400,48,384 GiB,2 x 900 NVMe SSD,10 Gigabit,,,
r5ad.16xlarge,$4.19200,64,512 GiB,4 x 600 NVMe SSD,12 Gigabit,,,
r5ad.24xlarge,$6.28800,96,768 GiB,4 x 900 NVMe SSD,20 Gigabit,,,
r5b.large,$0.14900,2,16 GiB,EBS Only,Up to 10 Gigabit,,,
r5b.xlarge,$0.29800,4,32 GiB,EBS Only,Up to 10 Gigabit,,,
r5b.2xlarge,$0.59600,8,64 GiB,EBS Only,Up to 10 Gigabit,,,
r5b.4xlarge,$1.19200,16,128 GiB,EBS Only,Up to 10 Gigabit,,,
r5b.8xlarge,$2.38400,32,256 GiB,EBS Only,10 Gigabit,,,
r5b.12xlarge,$3.57600,48,384 GiB,EBS Only,10 Gigabit,,,
r5b.16xlarge,$4.76800,64,512 GiB,EBS Only,20 Gigabit,,,
r5b.24xlarge,$7.15200,96,768 GiB,EBS Only,25 Gigabit,,,
r5b.metal,$7.15200,96,768 GiB,EBS Only,25 Gigabit,,,
r5d.large,$0.14400,2,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,,,
r5d.xlarge,$0.28800,4,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,,,
r5d.2xlarge,$0.57600,8,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,,,
r5d.4xlarge,$1.15200,16,128 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,,,
r5d.8xlarge,$2.30400,32,256 GiB,2 x 600 NVMe SSD,10 Gigabit,,,
r5d.12xlarge,$3.45600,48,384 GiB,2 x 900 NVMe SSD,10 Gigabit,,,
r5d.16xlarge,$4.60800,64,512 GiB,4 x 600 NVMe SSD,20 Gigabit,,,
r5d.24xlarge,$6.91200,96,768 GiB,4 x 900 NVMe SSD,25 Gigabit,,,
r5d.metal,$6.91200,96,768 GiB,4 x 900 NVMe SSD,25 Gigabit,,,
r5dn.large,$0.16700,2,16 GiB,1 x 75 NVMe SSD,Up to 25 Gigabit,,,
r5dn.xlarge,$0.33400,4,32 GiB,1 x 150 NVMe SSD,Up to 25 Gigabit,,,
r5dn.2xlarge,$0.66800,8,64 GiB,1 x 300 NVMe SSD,Up to 25 Gigabit,,,
r5dn.4xlarge,$1.33600,16,128 GiB,2 x 300 NVMe SSD,Up to 25 Gigabit,,,
r5dn.8xlarge,$2.67200,32,256 GiB,2 x 600 NVMe SSD,25 Gigabit,,,
r5dn.12xlarge,$4.00800,48,384 GiB,2 x 900 GB NVMe SSD,50 Gigabit,,,
r5dn.16xlarge,$5.34400,64,512 GiB,4 x 600 NVMe SSD,75 Gigabit,,,
r5dn.24xlarge,$8.01600,96,768 GiB,4 x 900 NVMe SSD,100 Gigabit,,,
r5dn.metal,$8.01600,96,768 GiB,4 x 900 NVMe SSD,100 Gigabit,,,
r5n.large,$0.14900,2,16 GiB,EBS Only,Up to 25 Gigabit,,,
r5n.xlarge,$0.29800,4,32 GiB,EBS Only,Up to 25 Gigabit,,,
r5n.2xlarge,$0.59600,8,64 GiB,EBS Only,Up to 25 Gigabit,,,
r5n.4xlarge,$1.19200,16,128 GiB,EBS Only,Up to 25 Gigabit,,,
r5n.8xlarge,$2.38400,32,256 GiB,EBS Only,25 Gigabit,,,
r5n.12xlarge,$3.57600,48,384 GiB,EBS Only,50 Gigabit,,,
r5n.16xlarge,$4.76800,64,512 GiB,EBS Only,75 Gigabit,,,
r5n.24xlarge,$7.15200,96,768 GiB,EBS Only,100 Gigabit,,,
r5n.metal,$7.15200,96,768 GiB,EBS Only,100 Gigabit,,,
r4.large,$0.13300,2,15.25 GiB,EBS Only,Up to 10 Gigabit,,,
r4.xlarge,$0.26600,4,30.5 GiB,EBS Only,Up to 10 Gigabit,,,
r4.2xlarge,$0.53200,8,61 GiB,EBS Only,Up to 10 Gigabit,,,
r4.4xlarge,$1.06400,16,122 GiB,EBS Only,Up to 10 Gigabit,,,
r4.8xlarge,$2.12800,32,244 GiB,EBS Only,10 Gigabit,,,
r4.16xlarge,$4.25600,64,488 GiB,EBS Only,20 Gigabit,,,
z1d.large,$0.18600,2,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,,,
z1d.xlarge,$0.37200,4,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,,,
z1d.2xlarge,$0.74400,8,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,,,
z1d.3xlarge,$1.11600,12,96 GiB,1 x 450 NVMe SSD,Up to 10 Gigabit,,,
z1d.6xlarge,$2.23200,24,192 GiB,1 x 900 NVMe SSD,10 Gigabit,,,
z1d.12xlarge,$4.46400,48,384 GiB,2 x 900 NVMe SSD,25 Gigabit,,,
z1d.metal,$4.46400,48,384 GiB,2 x 900 NVMe SSD,25 Gigabit,,,
i4g.large,$0.15444,2,16 GiB,1 x 468 SSD,Up to 10 Gigabit,,,
i4g.xlarge,$0.30888,4,32 GiB,1 x 937 SSD,Up to 10 Gigabit,,,
i4g.2xlarge,$0.61776,8,64 GiB,1 x 1875 SSD,Up to 12 Gigabit,,,
i4g.4xlarge,$1.23552,16,128 GiB,1 x 3750 SSD,Up to 25 Gigabit,,,
i4g.8xlarge,$2.47104,32,256 GiB,2 x 3750 SSD,18750 Megabit,,,
i4g.16xlarge,$4.94208,64,512 GiB,4 x 3750 SSD,37500 Megabit,,,
i4i.large,$0.17200,2,16 GiB,1 x 468 NVMe SSD,Up to 10 Gigabit,,,
i4i.xlarge,$0.34300,4,32 GiB,1 x 937 NVMe SSD,Up to 10 Gigabit,,,
i4i.2xlarge,$0.68600,8,64 GiB,1 x 1875 NVMe SSD,Up to 12 Gigabit,,,
i4i.4xlarge,$1.37300,16,128 GiB,1 x 3750 NVMe SSD,Up to 25 Gigabit,,,
i4i.8xlarge,$2.74600,32,256 GiB,2 x 3750 NVMe SSD,18750 Megabit,,,
i4i.16xlarge,$5.49100,64,512 GiB,4 x 3750 NVMe SSD,37500 Megabit,,,
i4i.32xlarge,$10.98240,128,1024 GiB,8 x 3750 SSD,75000 Megabit,,,
i4i.metal,$10.98200,128,1024 GiB,8 x 3750 NVMe SSD,75000 Megabit,,,
i3.large,$0.15600,2,15.25 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,,,
i3.xlarge,$0.31200,4,30.5 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,,,
i3.2xlarge,$0.62400,8,61 GiB,1 x 1900 NVMe SSD,Up to 10 Gigabit,,,
i3.4xlarge,$1.24800,16,122 GiB,2 x 1900 NVMe SSD,Up to 10 Gigabit,,,
i3.8xlarge,$2.49600,32,244 GiB,4 x 1900 NVMe SSD,10 Gigabit,,,
i3.16xlarge,$4.99200,64,488 GiB,8 x 1900 NVMe SSD,20 Gigabit,,,
i3.metal,$4.99200,72,512 GiB,8 x 1900 NVMe SSD,25 Gigabit,,,
i3en.large,$0.22600,2,16 GiB,1 x 1250 NVMe SSD,Up to 25 Gigabit,,,
i3en.xlarge,$0.45200,4,32 GiB,1 x 2500 NVMe SSD,Up to 25 Gigabit,,,
i3en.2xlarge,$0.90400,8,64 GiB,2 x 2500 NVMe SSD,Up to 25 Gigabit,,,
i3en.3xlarge,$1.35600,12,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,,,
i3en.6xlarge,$2.71200,24,192 GiB,2 x 7500 NVMe SSD,25 Gigabit,,,
i3en.12xlarge,$5.42400,48,384 GiB,4 x 7500 NVMe SSD,50 Gigabit,,,
i3en.24xlarge,$10.84800,96,768 GiB,8 x 7500 NVMe SSD,100 Gigabit,,,
i3en.metal,$10.84800,96,768 GiB,8 x 7500 NVMe SSD,100 Gigabit,,,
h1.2xlarge,$0.46800,8,32 GiB,1 x 2000 HDD,Up to 10 Gigabit,,,
h1.4xlarge,$0.93600,16,64 GiB,2 x 2000 HDD,Up to 10 Gigabit,,,
h1.8xlarge,$1.87200,32,128 GiB,4 x 2000 HDD,10 Gigabit,,,
h1.16xlarge,$3.74400,64,256 GiB,8 x 2000 HDD,25 Gigabit,,,
d3.xlarge,$0.49900,4,32 GiB,3 x 2000 HDD,Up to 15 Gigabit,,,
d3.2xlarge,$0.99900,8,64 GiB,6 x 2000 HDD,Up to 15 Gigabit,,,
d3.4xlarge,$1.99800,16,128 GiB,12 x 2000 HDD,Up to 15 Gigabit,,,
d3.8xlarge,$3.99552,32,256 GiB,24 x 2000 HDD,25 Gigabit,,,
d3en.xlarge,$0.52600,4,16 GiB,2 x 14000 HDD,Up to 25 Gigabit,,,
d3en.2xlarge,$1.05100,8,32 GiB,4 x 14000 HDD,Up to 25 Gigabit,,,
d3en.4xlarge,$2.10300,16,64 GiB,8 x 14000 HDD,25 Gigabit,,,
d3en.6xlarge,$3.15400,24,96 GiB,12 x 14000 HDD,40 Gigabit,,,
d3en.8xlarge,$4.20576,32,128 GiB,16 x 14000 HDD,50 Gigabit,,,
d3en.12xlarge,$6.30864,48,192 GiB,24 x 14000 HDD,75 Gigabit,,,
d2.xlarge,$0.69000,4,30.5 GiB,3 x 2000 HDD,Moderate,,,
d2.2xlarge,$1.38000,8,61 GiB,6 x 2000 HDD,High,,,
d2.4xlarge,$2.76000,16,122 GiB,12 x 2000 HDD,High,,,
d2.8xlarge,$5.52000,36,244 GiB,24 x 2000 HDD,10 Gigabit,,,
u-24tb1.112xlarge,$218.40000,448,24576 GiB,EBS Only,100 Gigabit,,,
u-18tb1.112xlarge,$163.80000,448,18432 GiB,EBS Only,100 Gigabit,,,
u-12tb1.112xlarge,$109.20000,448,12288 GiB,EBS Only,100 Gigabit,,,
u-9tb1.112xlarge,$81.90000,448,9216 GiB,EBS Only,100 Gigabit,,,
u-6tb1.56xlarge,$46.40391,224,6144 GiB,EBS Only,100 Gigabit,,,
u-6tb1.112xlarge,$54.60000,448,6144 GiB,EBS Only,100 Gigabit,,,
is4gen.medium,$0.14408,1,6 GiB,1 x 937 SSD,Up to 25 Gigabit,,,
is4gen.large,$0.28815,2,12 GiB,1 x 1875 SSD,Up to 25 Gigabit,,,
is4gen.xlarge,$0.57630,4,24 GiB,1 x 3750 SSD,Up to 25 Gigabit,,,
is4gen.2xlarge,$1.15260,8,48 GiB,1 x 7500 SSD,Up to 25 Gigabit,,,
is4gen.4xlarge,$2.30520,16,96 GiB,2 x 7500 SSD,25 Gigabit,,,
is4gen.8xlarge,$4.61040,32,192 GiB,4 x 7500 SSD,50 Gigabit,,,
im4gn.large,$0.18190,2,8 GiB,1 x 937 SSD,Up to 25 Gigabit,,,
im4gn.xlarge,$0.36379,4,16 GiB,1 x 1875 SSD,Up to 25 Gigabit,,,
im4gn.2xlarge,$0.72758,8,32 GiB,1 x 3750 SSD,Up to 25 Gigabit,,,
im4gn.4xlarge,$1.45517,16,64 GiB,1 x 7500 SSD,25 Gigabit,,,
im4gn.8xlarge,$2.91034,32,128 GiB,2 x 7500 SSD,50 Gigabit,,,
im4gn.16xlarge,$5.82067,64,256 GiB,4 x 7500 SSD,100 Gigabit,,,
u-3tb1.56xlarge,$27.30000,224,3072 GiB,EBS Only,50 Gigabit,,,
vt1.3xlarge,$0.65000,12,24 GiB,EBS Only,3125 Megabit,,,
vt1.6xlarge,$1.30000,24,48 GiB,EBS Only,6250 Megabit,,,
inf1.24xlarge,$4.72100,96,192 GiB,EBS Only,100 Gigabit,,,
dl1.24xlarge,$13.10904,96,768 GiB,4 x 1000 GB NVMe SSD,400 Gigabit,,,
trn1.32xlarge,$21.50000,128,512 GiB,4 x 1900 NVMe SSD,800 Gigabit,,,
vt1.24xlarge,$5.20000,96,192 GiB,EBS Only,25000 Megabit,,,
inf1.xlarge,$0.22800,4,8 GiB,EBS Only,Up to 25 Gigabit,,,
trn1.2xlarge,$1.34375,8,32 GiB,1 x 475 NVMe SSD,12500 Megabit,,,
inf1.2xlarge,$0.36200,8,16 GiB,EBS Only,Up to 25 Gigabit,,,
inf1.6xlarge,$1.18000,24,48 GiB,EBS Only,25 Gigabit,,,
trn1n.32xlarge,$24.78000,128,512 GiB,4 x 1900 NVMe SSD,1600 Gigabit,,,